id,ref_number,gap,hit:adaptive altitude,hit:adaptive barometer,hit:adaptive height,hit:altimeter,hit:altitude sensor,hit:barometer,hit:barometer noise,hit:barometric,hit:barometric covariance,hit:descriptor quality,hit:descriptor uniqueness,hit:feature confidence,hit:feature quality,hit:feature reliability,hit:feature score,hit:height sensor,hit:keypoint confidence,hit:keypoint quality,hit:match confidence,hit:per keypoint,hit:per-feature weight,hit:per-feature weighting,hit:per-keypoint,hit:quality weighted,hit:quality-weighted,total_hits
P0101,47,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0101,47,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0115,48,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0115,48,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0122,49,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0122,49,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0131,50,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0131,50,G3,0,0,0,0,0,2,0,1,0,,,,,,,0,,,,,,,,0,0,3
P0167,51,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0167,51,G3,0,0,0,0,0,1,0,0,0,,,,,,,0,,,,,,,,0,0,1
P0172,52,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0172,52,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0188,53,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0188,53,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0197,54,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0197,54,G3,0,0,0,0,0,1,0,0,0,,,,,,,0,,,,,,,,0,0,1
P0294,55,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0294,55,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0298,56,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0298,56,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0300,57,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0300,57,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0302,58,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0302,58,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0316,59,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0316,59,G3,0,0,0,1,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,1
P0414,60,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0414,60,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0099,61,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0099,61,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0535,62,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0535,62,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0440,63,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0440,63,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0216,64,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0216,64,G3,0,0,0,0,0,1,0,0,0,,,,,,,0,,,,,,,,0,0,1
P0286,65,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0286,65,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0196,66,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0196,66,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0087,67,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0087,67,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0538,68,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0538,68,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0309,69,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0309,69,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0178,70,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0178,70,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0285,71,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0285,71,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0345,72,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0345,72,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0023,73,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0023,73,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0339,74,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0339,74,G3,0,0,0,0,0,1,0,0,0,,,,,,,0,,,,,,,,0,0,1
P0336,75,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0336,75,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0321,76,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0321,76,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0337,77,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0337,77,G3,0,0,0,0,0,0,0,1,0,,,,,,,0,,,,,,,,0,0,1
P0412,78,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0412,78,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0217,79,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0217,79,G3,0,0,0,0,0,17,0,0,0,,,,,,,0,,,,,,,,0,0,17
P0341,80,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0341,80,G3,0,0,0,0,0,2,0,0,0,,,,,,,0,,,,,,,,0,0,2
P0545,81,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0545,81,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0245,82,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0245,82,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0228,83,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0228,83,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0378,84,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0378,84,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0403,85,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0403,85,G3,0,0,0,0,0,1,0,0,0,,,,,,,0,,,,,,,,0,0,1
P0406,86,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0406,86,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0338,87,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0338,87,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0118,88,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0118,88,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0031,89,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0031,89,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0256,90,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0256,90,G3,0,0,0,1,0,1,0,0,0,,,,,,,0,,,,,,,,0,0,2
P0284,91,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0284,91,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0322,92,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0322,92,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0340,93,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0340,93,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0346,94,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0346,94,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0349,95,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0349,95,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0417,96,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0417,96,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0418,97,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0418,97,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0662,98,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0662,98,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0663,99,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0663,99,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0044,100,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0044,100,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0002,101,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0002,101,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0016,102,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0016,102,G3,0,0,0,0,0,1,0,0,0,,,,,,,0,,,,,,,,0,0,1
P0036,103,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0036,103,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0048,104,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0048,104,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0055,105,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0055,105,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0063,106,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0063,106,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0070,107,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0070,107,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0072,108,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0072,108,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0076,109,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0076,109,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0084,110,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0084,110,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0086,111,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0086,111,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0153,112,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0153,112,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0271,113,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0271,113,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0289,114,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0289,114,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0293,115,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0293,115,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0368,116,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0368,116,G3,0,0,0,6,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,6
P0369,117,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0369,117,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0049,118,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0049,118,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0437,119,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0437,119,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0632,120,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0632,120,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0005,121,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0005,121,G3,0,0,0,0,0,3,0,4,0,,,,,,,0,,,,,,,,0,0,7
P0042,122,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0042,122,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0052,123,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0052,123,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0075,124,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0075,124,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0119,125,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0119,125,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0120,126,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0120,126,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0128,127,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0128,127,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0173,128,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0173,128,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0211,129,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0211,129,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0225,130,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0225,130,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0251,131,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0251,131,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0335,132,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0335,132,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0374,133,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
P0374,133,G3,0,0,0,0,0,0,0,0,0,,,,,,,0,,,,,,,,0,0,0
P0381,134,G1,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0
